"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Music Meets Art. My exclusive concert experience with @americanexpress and @Shantell_Martin Tomorrow. Miami.… https://t.co/3E3vfy49lV",FALSE,5469,NA,2016-11-30 22:52:48,TRUE,NA,"804095864130142208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",1325,FALSE,FALSE,NA,NA
"@VSattenXXL https://t.co/kpSk0zamJO",FALSE,179,"VSattenXXL",2016-11-16 15:44:26,FALSE,"798695187358760960","798914633339781120","16098380","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",60,FALSE,FALSE,NA,NA
"#LilSunnyTour #TDE https://t.co/671ca9NZ5s",FALSE,3065,NA,2016-10-24 19:06:22,FALSE,NA,"790630531029270528",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kendricklamar",1115,FALSE,FALSE,NA,NA
"Look. https://t.co/Z6x9VRifW8",FALSE,3323,NA,2016-10-07 00:21:24,FALSE,NA,"784186831055138816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",1295,FALSE,FALSE,NA,NA
"https://t.co/cXU0aDNnAl",FALSE,4647,NA,2016-10-03 01:51:16,FALSE,NA,"782759892993978368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",2265,FALSE,FALSE,NA,NA
"Pimp pimp! available now. https://t.co/uooPMbe3Qe https://t.co/TqR7hpamh0",FALSE,3932,NA,2016-09-27 22:06:15,FALSE,NA,"780891327496015872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",1328,FALSE,FALSE,NA,NA
"Blonde and Endless. Encore to Frank.",FALSE,47975,NA,2016-08-24 02:17:17,FALSE,NA,"768270925645029376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",23699,FALSE,FALSE,NA,NA
"Isaiah Copper. Go young man! Go!https://t.co/pWzlKnxFKs",FALSE,3043,NA,2016-07-24 16:11:02,FALSE,NA,"757246722179526657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",1052,FALSE,FALSE,NA,NA
"#BlankFaceLP https://t.co/KrV7Rwjz6X",FALSE,5787,NA,2016-07-08 03:12:48,FALSE,NA,"751252670313172992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",3509,FALSE,FALSE,NA,NA
"tune in https://t.co/IxoEMyLOPG @WhiteHouse 645PM EST",FALSE,2133,NA,2016-07-04 22:45:29,FALSE,NA,"750098231325888512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",1046,FALSE,FALSE,NA,NA
"London. 7/2 @BSTHydePark
https://t.co/0gVYPdS18g https://t.co/mEcFS4pSDO",FALSE,5537,NA,2016-06-25 17:08:25,FALSE,NA,"746751915522826240",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","kendricklamar",1653,FALSE,FALSE,NA,NA
". @skiiiwalker ?",FALSE,6417,NA,2016-05-11 20:20:15,FALSE,NA,"730492738030862336",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kendricklamar",4447,FALSE,FALSE,NA,NA
"@Luxxkjr gmoms food it is...",FALSE,485,"Luxxkjr",2016-05-01 18:16:22,FALSE,"726836155614814208","726837685336166400","428557525","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",105,FALSE,FALSE,NA,NA
"@Luxxkjr u must got a few dollas on you. Steak and lobster. Let me hold somethin.",FALSE,535,"Luxxkjr",2016-05-01 06:16:25,FALSE,"726653527523651584","726656500735705088","428557525","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",158,FALSE,FALSE,NA,NA
"No pressure. THE GREAT ONE. @kobebryant . Thank you for the journey champ.",FALSE,39013,NA,2016-04-14 05:06:17,FALSE,NA,"720478259096461313",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",24534,FALSE,FALSE,NA,NA
".@JCrossover https://t.co/MEupLv6p32",FALSE,2502,NA,2016-04-12 23:45:27,FALSE,NA,"720035132753596416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",821,FALSE,FALSE,NA,NA
"https://t.co/o711uZ7bBJ ....super.",FALSE,2562,NA,2016-04-06 17:59:58,FALSE,NA,"717773861689819136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",993,FALSE,FALSE,NA,NA
