"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"My young one in ebony with her Lipmatic line!! https://t.co/bI1PpyB8je",FALSE,220,NA,2016-12-10 00:06:23,FALSE,NA,"807375873175420928",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Nas",61,FALSE,FALSE,NA,NA
"Club Bliss tomorrow Night! DC https://t.co/8nmc2Op1wv",FALSE,503,NA,2016-12-09 19:43:11,FALSE,NA,"807309636848087040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nas",160,FALSE,FALSE,NA,NA
"Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç@bevel #JoyOfBevel. (https://t.co/xE8tteaLwk) https://t.co/MCEzcKC0ss",FALSE,94,NA,2016-12-08 05:56:57,FALSE,NA,"806739322837700608",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Nas",34,FALSE,FALSE,NA,NA
"Whoever can tweet which song I first appeared on using #JoyOfBevel, will win a @Bevel shave system. Go! https://t.co/a0u934tPJX",FALSE,207,NA,2016-12-07 20:28:11,FALSE,NA,"806596186761084929",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nas",71,FALSE,FALSE,NA,NA
"Riding down Orleans @ New Orleans, Louisiana https://t.co/uQz3n8b5J0",FALSE,130,NA,2016-12-05 22:21:23,FALSE,NA,"805899901162897408",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Nas",58,FALSE,FALSE,"-90.059","29.9728"
"@tristanwalker @bevel https://t.co/hlJjExPYL0",FALSE,31,"tristanwalker",2016-12-05 22:06:41,FALSE,NA,"805896201749037056","18206161","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nas",20,FALSE,FALSE,NA,NA
"Got some chargrilled oysters Togo https://t.co/BBlUm3P6Ym",FALSE,103,NA,2016-12-05 21:08:00,FALSE,NA,"805881431499177985",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Nas",18,FALSE,FALSE,NA,NA
"S/O to Chris and the team at rockwellmiami always good times. https://t.co/VReMjLQW1A",FALSE,80,NA,2016-12-04 22:51:57,FALSE,NA,"805545203591479296",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Nas",13,FALSE,FALSE,NA,NA
"Miami https://t.co/JJvkpl2mNR",FALSE,82,NA,2016-12-04 22:49:20,FALSE,NA,"805544547052879873",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Nas",26,FALSE,FALSE,NA,NA
"rockwellmiami right now @ South Beach https://t.co/rrcARKVxkn",FALSE,96,NA,2016-12-04 06:26:49,FALSE,NA,"805297288616824832",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Nas",29,FALSE,FALSE,"-80.13626111","25.781875"
"A R T B A S E L @ Miami Beach, Florida https://t.co/fuCBsOWwLa",FALSE,104,NA,2016-12-04 00:27:02,FALSE,NA,"805206743835967488",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Nas",24,FALSE,FALSE,"-80.1341","25.813"
"Tonight rockwellmiami @hennessyus #artbasel https://t.co/AWTtTjMvM0",FALSE,74,NA,2016-12-03 19:34:59,FALSE,NA,"805133247227236352",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Nas",21,FALSE,FALSE,NA,NA
"Sweet Chick Life! @ Art Basel Miami Beach https://t.co/QGoWLV5oz9",FALSE,71,NA,2016-12-03 01:25:27,FALSE,NA,"804859057689464833",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Nas",18,FALSE,FALSE,"-80.13389862","25.79483658"
"Miami Nights #teamhennessy @ Miami Beach, Florida https://t.co/D1gQKSryzZ",FALSE,80,NA,2016-12-02 08:35:14,FALSE,NA,"804604828118904832",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Nas",23,FALSE,FALSE,"-80.1341","25.813"
"#Repost @nike
„Éª„Éª„Éª
@nas is New York Made.
‚†Ä
Visit https://t.co/9lJg4hi5SP to learn more about the faces of‚Ä¶ https://t.co/IaDajeNPPM",FALSE,163,NA,2016-11-29 16:44:10,FALSE,NA,"803640708091494400",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Nas",65,FALSE,FALSE,NA,NA
"Kneeling Santa Christmas sweaters available on https://t.co/Ot81wq4VmB.
A portion of proceeds will go‚Ä¶ https://t.co/VNfz3lQlcc",FALSE,96,NA,2016-11-29 00:45:08,FALSE,NA,"803399358741876737",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Nas",46,FALSE,FALSE,NA,NA
"TONIGHT at 8/7c on @PBS and online, watch #BlackAmericaPBS with @HenryLouisGates. https://t.co/IHAQ24EhOM",FALSE,279,NA,2016-11-22 20:08:46,FALSE,NA,"801155481603477504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nas",150,FALSE,FALSE,NA,NA
