"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#BeGREAT https://t.co/tuVwNGPFrq",FALSE,38,NA,2016-12-12 21:19:48,FALSE,NA,"808421117941731328",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",9,FALSE,FALSE,NA,NA
"Don't let nothing stop you!!! #mood @aquahydrate https://t.co/tkby5Doa2F",FALSE,109,NA,2016-12-12 18:03:37,FALSE,NA,"808371743794466816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamdiddy",45,FALSE,FALSE,NA,NA
"#NoMERCY #godsentmeheretoinspireyou https://t.co/PhD8U9FUt3",FALSE,68,NA,2016-12-11 16:34:28,FALSE,NA,"807986919934140416",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",27,FALSE,FALSE,NA,NA
"#TEAMLOVE https://t.co/wNMGt5mrRH",FALSE,47,NA,2016-12-11 16:23:34,FALSE,NA,"807984180097384448",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",24,FALSE,FALSE,NA,NA
"Just posted a video https://t.co/JYLnMcmJlk",FALSE,41,NA,2016-12-11 16:18:39,FALSE,NA,"807982942706343936",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",14,FALSE,FALSE,NA,NA
"Just posted a photo https://t.co/czWngJuqxO",FALSE,77,NA,2016-12-10 12:59:30,FALSE,NA,"807570435898478594",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",29,FALSE,FALSE,NA,NA
"#takeDat https://t.co/zMS5eVhSou",FALSE,193,NA,2016-12-10 00:27:13,FALSE,NA,"807381118760742913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamdiddy",53,FALSE,FALSE,NA,NA
"There's a new tequila on the market!!! @deleontequila #TheNextLevel #tryIT https://t.co/PAjLsOrxrN",FALSE,114,NA,2016-12-09 20:38:13,FALSE,NA,"807323489472544768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamdiddy",41,FALSE,FALSE,NA,NA
"I knew that I had to work hard to get it and I wanted it!!! Good morning world!!! #LETSGETIT https://t.co/kpBMv2ygry",FALSE,383,NA,2016-12-09 20:37:38,FALSE,NA,"807323341182926853",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamdiddy",145,FALSE,FALSE,NA,NA
"https://t.co/dYqiIdnOuJ NOW for all official #BADBOY X @invisiblebully_ merchandise!!! GO!! https://t.co/XpNfxTyz34",FALSE,115,NA,2016-12-08 01:14:52,FALSE,NA,"806668334913687552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamdiddy",52,FALSE,FALSE,NA,NA
"ATTN!! @djkhaled has that They Ì†ΩÌ∫∑ Block for you!! That We The Best Glow!! Dec 13th!! https://t.co/nYpa8wU40M https://t.co/JBNi4uVU6P",FALSE,174,NA,2016-12-07 23:49:46,FALSE,NA,"806646916725559296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamdiddy",68,FALSE,FALSE,NA,NA
"We're taking you to #TheNextLevel! Make sure you go get my brother @djkhaled new book #TheKeysÌ†ΩÌ¥ë@deleontequila #tryIT https://t.co/bK2dw6uYyL",FALSE,152,NA,2016-12-07 19:05:48,FALSE,NA,"806575456745091072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamdiddy",68,FALSE,FALSE,NA,NA
"#superfood listen young black king. Love you https://t.co/XtbI0v7WKE",FALSE,78,NA,2016-12-07 16:40:42,FALSE,NA,"806538940224303104",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",40,FALSE,FALSE,NA,NA
"#TeamLOVE https://t.co/HTJ8OysoD1",FALSE,43,NA,2016-12-07 14:51:59,FALSE,NA,"806511578610864128",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",25,FALSE,FALSE,NA,NA
"Watch now. Let's get it https://t.co/hMKGRA1eyG",FALSE,64,NA,2016-12-07 13:10:57,FALSE,NA,"806486151704039424",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",20,FALSE,FALSE,NA,NA
"FLY RECOGNIZE FLY ! #LEGEND MAY GOD BLESS YOU FOREVER!!!! Love https://t.co/dKikUofIeY",FALSE,69,NA,2016-12-06 19:41:08,FALSE,NA,"806221960292220928",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",12,FALSE,FALSE,NA,NA
"ATTN! Receive FREE personalized engraving on bottles of @DeLeonTequila NOW from @ReserveBar!!‚Ä¶ https://t.co/GePNORTFDo",FALSE,108,NA,2016-12-06 18:20:13,TRUE,NA,"806201594949890048",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iamdiddy",61,FALSE,FALSE,NA,NA
"#PINK #FUCKCANCER https://t.co/NHz6vcfUv3",FALSE,74,NA,2016-12-06 18:11:47,FALSE,NA,"806199475014406144",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",20,FALSE,FALSE,NA,NA
"NEW MUSIC ALERT! Check out @WillJordanMusic and @JoslynMusic on #SoundsByTheSound on @RevoltTV! #VisitSeattle https://t.co/abEzu6pjXh",FALSE,55,NA,2016-12-06 17:52:51,FALSE,NA,"806194707835535360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iamdiddy",32,FALSE,FALSE,NA,NA
"Good morning I GIVE ALL GLORY TO GOD! https://t.co/RjriAQToIH",FALSE,169,NA,2016-12-06 14:53:13,FALSE,NA,"806149502008758272",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",54,FALSE,FALSE,NA,NA
