"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Moms with my grandson ‚ù§Ô∏èÌ†ΩÌ≤ïÌ†ºÌºπ https://t.co/TpQfBE3nOp https://t.co/ouJcHERfkV",FALSE,726,NA,2016-12-12 21:09:02,FALSE,NA,"808418406718435328",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",63,FALSE,FALSE,NA,NA
"https://t.co/2dQOu84HN5 https://t.co/PJUYn3WVZi",FALSE,139,NA,2016-12-12 21:03:26,FALSE,NA,"808416996505350144",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",26,FALSE,FALSE,NA,NA
"https://t.co/xi39x0Fo8m https://t.co/MLqrsLVBa5",FALSE,332,NA,2016-12-12 20:14:36,FALSE,NA,"808404706741682176",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",55,FALSE,FALSE,NA,NA
"year of the dogg. https://t.co/8g9ohlALE5",FALSE,304,NA,2016-12-12 19:14:50,FALSE,NA,"808389669184376832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SnoopDogg",67,FALSE,FALSE,NA,NA
"Mawnin https://t.co/3ROvBZMSHy https://t.co/meyRcKx8RT",FALSE,376,NA,2016-12-12 18:56:50,FALSE,NA,"808385138254118912",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",92,FALSE,FALSE,NA,NA
"merry chrismizzle. get urs. https://t.co/NNzoh8kuIa #getdeez https://t.co/XHnWvFFLA3 https://t.co/R0LucIgVXV",FALSE,263,NA,2016-12-12 17:01:30,FALSE,NA,"808356112785375232",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",64,FALSE,FALSE,NA,NA
"https://t.co/63pW6il9ZC https://t.co/gkqpFTVekj",FALSE,540,NA,2016-12-12 07:10:49,FALSE,NA,"808207463644327936",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",99,FALSE,FALSE,NA,NA
"https://t.co/RvU23I8QAx https://t.co/3AimDtbjpy",FALSE,647,NA,2016-12-12 05:34:06,FALSE,NA,"808183124601475072",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",119,FALSE,FALSE,NA,NA
"https://t.co/PWH5HY1g3d https://t.co/Q7YkLpkxmg",FALSE,361,NA,2016-12-12 05:32:36,FALSE,NA,"808182743922278402",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",51,FALSE,FALSE,NA,NA
".@kurupt_gotti roccn @tanquerayusa n #getdeez xmas sweater. https://t.co/eLqTYCxvzQ #tanqlaidback https://t.co/6SUkSuxsYl",FALSE,300,NA,2016-12-12 00:05:07,FALSE,NA,"808100329795395584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SnoopDogg",66,FALSE,FALSE,NA,NA
"We got the juice. ‚úäÌ†ºÌøæ https://t.co/25Jmr1tY4X https://t.co/BDCCcPMHS8",FALSE,360,NA,2016-12-11 23:03:45,FALSE,NA,"808084887110557697",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",123,FALSE,FALSE,NA,NA
"https://t.co/ns6c8nFb3u https://t.co/sWfIenmDtQ",FALSE,352,NA,2016-12-11 23:02:42,FALSE,NA,"808084625239183360",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",74,FALSE,FALSE,NA,NA
"https://t.co/7sEjyXaIob https://t.co/sbHTiYUGQE",FALSE,351,NA,2016-12-11 21:41:19,FALSE,NA,"808064142229835776",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",65,FALSE,FALSE,NA,NA
"‚úäÌ†ºÌøø
https://t.co/oWZtvfQV77",FALSE,653,NA,2016-12-11 20:05:14,FALSE,NA,"808039964466417664",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","SnoopDogg",187,FALSE,FALSE,NA,NA
"https://t.co/CwTECJnx6O https://t.co/YEqUbOGku5",FALSE,450,NA,2016-12-11 18:45:39,FALSE,NA,"808019934001426437",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",71,FALSE,FALSE,NA,NA
"https://t.co/meMocxHOXA https://t.co/RV6PUvN2aI",FALSE,1134,NA,2016-12-11 11:07:05,FALSE,NA,"807904532198002688",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",436,FALSE,FALSE,NA,NA
"Thanks for the ride.  Fellas Ì†ΩÌπèÌ†ºÌøæÌ†ºÌøàÌ†ºÌºπ https://t.co/jT5MN1fRmM https://t.co/L1UwH7zVyw",FALSE,306,NA,2016-12-11 10:23:10,FALSE,NA,"807893481221947392",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",42,FALSE,FALSE,NA,NA
"https://t.co/wDe0o8rtKM https://t.co/u6k9Hikxz3",FALSE,1107,NA,2016-12-11 10:23:05,FALSE,NA,"807893459952693248",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",339,FALSE,FALSE,NA,NA
